SN,CAS Number,Chemical Name,Chemical Grade,Chemical Analysis,Chemical Purity,Species Scientific Name,Species Common Name,Species Group,Organism Lifestage,Organism Age,Age Units,Exposure Type,Media Type,Test Location,Number of Doses,Conc 1 Type (Standardized),Conc 1 Mean Op (Standardized),Conc 1 Mean (Standardized),Conc 1 Min Op (Standardized),Conc Min 1 (Standardized),Conc 1 Max Op (Standardized),Conc 1 Max (Standardized),Conc 1 Units (Standardized),Effect,Effect Measurement,Endpoint,Response Site,Observed Duration (Days),Observed Duration Units (Days),BCF 1 Value Op,BCF 1 Value,BCF 1 Min Op,BCF 1 Min,BCF 1 Max Op,BCF 1 Max,BCF 1 Unit,BCF 2 Value Op,BCF 2 Value,BCF 2 Min Op,BCF 2 Min,BCF 2 Max Op,BCF 2 Max,BCF 2 Unit,BCF 3 Value Op,BCF 3 Value,BCF 3 Min Op,BCF 3 Min,BCF 3 Max Op,BCF 3 Max,BCF 3 Unit,Author,Reference Number,Title,Source,Publication Year,Summary of Additional Parameters
SN0628,375804,"1,1,2,2,3,3,4,4,5,5,6,6-Dodecafluoro-1,6-diiodohexane",,Unmeasured,>=98,Danio rerio,Zebra Danio,Fish,Embryo,4,Hours post fertilization,Renewal,Fresh water,Lab,6,Active ingredient,,293.543574,,,,,AI mg/L,Development,Deformation,EC50,,6,Day(s) post-fertilization,,,,,,,--,,,,,,,,,,,,,,,"Lu,L., J. Chang, Y. Chang, and J. Ma",184581,Fluorinated Diiodine Alkanes Exert Developmental Toxicity on Embryo-Larval Stages of Zebrafish Strain Ab Via Regulating the Expression of the Specific Endocrine-Related Genes,J. Appl. Toxicol.39(12): 1691-1691,2019,Purity:  NR - NR | Organism Age:  NR - NR Hours post fertilization | Duration (Days):  NR - NR Day(s) post-fertilization | Conc 2 (Standardized):  NR (NR - NR) NR | Conc 3 (Standardized):  NR (NR - NR) NR
SN0629,375804,"1,1,2,2,3,3,4,4,5,5,6,6-Dodecafluoro-1,6-diiodohexane",,Unmeasured,>=98,Danio rerio,Zebra Danio,Fish,Embryo,4,Hours post fertilization,Renewal,Fresh water,Lab,6,Active ingredient,,1218.48276,,,,,AI mg/L,Mortality,Mortality,LC50,,6,Day(s) post-fertilization,,,,,,,--,,,,,,,,,,,,,,,"Lu,L., J. Chang, Y. Chang, and J. Ma",184581,Fluorinated Diiodine Alkanes Exert Developmental Toxicity on Embryo-Larval Stages of Zebrafish Strain Ab Via Regulating the Expression of the Specific Endocrine-Related Genes,J. Appl. Toxicol.39(12): 1691-1691,2019,Purity:  NR - NR | Organism Age:  NR - NR Hours post fertilization | Duration (Days):  NR - NR Day(s) post-fertilization | Conc 2 (Standardized):  NR (NR - NR) NR | Conc 3 (Standardized):  NR (NR - NR) NR
SN0630,375859,"2,2,3,3,4,4,5,5,6,6,7,7,7-Tridecafluoroheptanoic acid",,Unmeasured,>=95,Raphidocelis subcapitata,Green Algae,Algae,Exponential growth phase (log),NR,,Static,Fresh water,Lab,Jun-13,Active ingredient,>,260,,,,,AI mg/L,Population,Population growth rate,EC10,,2,Day(s),,,,,,,--,,,,,,,,,,,,,,,"Kusk,K.O., A.M. Christensen, and N. Nyholm",180320,Algal Growth Inhibition Test Results of 425 Organic Chemical Substances,Chemosphere204:405-412,2018,Purity:  NR - NR | Organism Age:  NR - NR NR | Duration (Days):  NR - NR Day(s) | Conc 2 (Standardized):  NR (NR - NR) NR | Conc 3 (Standardized):  NR (NR - NR) NR
SN0631,375859,"2,2,3,3,4,4,5,5,6,6,7,7,7-Tridecafluoroheptanoic acid",,Unmeasured,NR,Skeletonema marinoi,Diatom,Algae,Exponential growth phase (log),NR,,Static,Salt water,Lab,,Formulation,,873.7512,,,,,AI mg/L,Population,Population growth rate,EC50,,3,Day(s),,,,,,,--,,,,,,,,,,,,,,,"Latala,A., M. Nedzi, and P. Stepnowski",118463,Acute Toxicity Assessment of Perfluorinated Carboxylic Acids Towards the Baltic Microalgae,Environ. Toxicol. Pharmacol.28(2): 167-171,2009,Purity:  NR - NR | Organism Age:  NR - NR NR | Duration (Days):  NR - NR Day(s) | Conc 2 (Standardized):  NR (NR - NR) NR | Conc 3 (Standardized):  NR (NR - NR) NR
SN0632,375859,"2,2,3,3,4,4,5,5,6,6,7,7,7-Tridecafluoroheptanoic acid",,Unmeasured,>=95,Raphidocelis subcapitata,Green Algae,Algae,Exponential growth phase (log),NR,,Static,Fresh water,Lab,Jun-13,Active ingredient,>,260,,,,,AI mg/L,Population,Population growth rate,EC50,,2,Day(s),,,,,,,--,,,,,,,,,,,,,,,"Kusk,K.O., A.M. Christensen, and N. Nyholm",180320,Algal Growth Inhibition Test Results of 425 Organic Chemical Substances,Chemosphere204:405-412,2018,Purity:  NR - NR | Organism Age:  NR - NR NR | Duration (Days):  NR - NR Day(s) | Conc 2 (Standardized):  NR (NR - NR) NR | Conc 3 (Standardized):  NR (NR - NR) NR
SN0633,375859,"2,2,3,3,4,4,5,5,6,6,7,7,7-Tridecafluoroheptanoic acid",,Unmeasured,NR,Geitlerinema amphibium,Blue-green Algae,Algae,Exponential growth phase (log),NR,,Static,Salt water,Lab,,Formulation,,516.96946,,,,,AI mg/L,Population,Population growth rate,EC50,,3,Day(s),,,,,,,--,,,,,,,,,,,,,,,"Latala,A., M. Nedzi, and P. Stepnowski",118463,Acute Toxicity Assessment of Perfluorinated Carboxylic Acids Towards the Baltic Microalgae,Environ. Toxicol. Pharmacol.28(2): 167-171,2009,Purity:  NR - NR | Organism Age:  NR - NR NR | Duration (Days):  NR - NR Day(s) | Conc 2 (Standardized):  NR (NR - NR) NR | Conc 3 (Standardized):  NR (NR - NR) NR
SN0634,375859,"2,2,3,3,4,4,5,5,6,6,7,7,7-Tridecafluoroheptanoic acid",,Unmeasured,NR,Chlorella vulgaris,Green Algae,Algae,Exponential growth phase (log),NR,,Static,Salt water,Lab,,Formulation,,1896.76823,,,,,AI mg/L,Population,Population growth rate,EC50,,3,Day(s),,,,,,,--,,,,,,,,,,,,,,,"Latala,A., M. Nedzi, and P. Stepnowski",118463,Acute Toxicity Assessment of Perfluorinated Carboxylic Acids Towards the Baltic Microalgae,Environ. Toxicol. Pharmacol.28(2): 167-171,2009,Purity:  NR - NR | Organism Age:  NR - NR NR | Duration (Days):  NR - NR Day(s) | Conc 2 (Standardized):  NR (NR - NR) NR | Conc 3 (Standardized):  NR (NR - NR) NR
SN0635,375859,"2,2,3,3,4,4,5,5,6,6,7,7,7-Tridecafluoroheptanoic acid",Laboratory Grade,Unmeasured,>=97,Daphnia pulicaria,Water Flea,Crustaceans,Neonate,<24,Hour(s),Static,Fresh water,Lab,6,Active ingredient,>,1019.3764,,,,,AI mg/L,Intoxication,Immobile,EC10,,2,Day(s),,,,,,,--,,,,,,,,,,,,,,,"Boudreau,T.M.",175259,Toxicity of Perfluorinated Organic Acids to Selected Freshwater Organisms Under Laboratory and Field Conditions,"M.S. Thesis, University of Guelph, Ontario, Canada:145 p.",2002,Purity:  NR - NR | Organism Age:  NR - NR Hour(s) | Duration (Days):  NR - NR Day(s) | Conc 2 (Standardized):  NR (NR - NR) NR | Conc 3 (Standardized):  NR (NR - NR) NR
SN0636,375859,"2,2,3,3,4,4,5,5,6,6,7,7,7-Tridecafluoroheptanoic acid",Laboratory Grade,Unmeasured,>=97,Daphnia pulicaria,Water Flea,Crustaceans,Neonate,<24,Hour(s),Static,Fresh water,Lab,6,Active ingredient,>,1019.3764,,,,,AI mg/L,Intoxication,Immobile,EC50,,2,Day(s),,,,,,,--,,,,,,,,,,,,,,,"Boudreau,T.M.",175259,Toxicity of Perfluorinated Organic Acids to Selected Freshwater Organisms Under Laboratory and Field Conditions,"M.S. Thesis, University of Guelph, Ontario, Canada:145 p.",2002,Purity:  NR - NR | Organism Age:  NR - NR Hour(s) | Duration (Days):  NR - NR Day(s) | Conc 2 (Standardized):  NR (NR - NR) NR | Conc 3 (Standardized):  NR (NR - NR) NR
SN0637,375859,"2,2,3,3,4,4,5,5,6,6,7,7,7-Tridecafluoroheptanoic acid",Laboratory Grade,Unmeasured,>=97,Daphnia pulicaria,Water Flea,Crustaceans,Neonate,<24,Hour(s),Static,Fresh water,Lab,6,Active ingredient,>,1019.3764,,,,,AI mg/L,Mortality,Mortality,LC50,,2,Day(s),,,,,,,--,,,,,,,,,,,,,,,"Boudreau,T.M.",175259,Toxicity of Perfluorinated Organic Acids to Selected Freshwater Organisms Under Laboratory and Field Conditions,"M.S. Thesis, University of Guelph, Ontario, Canada:145 p.",2002,Purity:  NR - NR | Organism Age:  NR - NR Hour(s) | Duration (Days):  NR - NR Day(s) | Conc 2 (Standardized):  NR (NR - NR) NR | Conc 3 (Standardized):  NR (NR - NR) NR
SN0638,375859,"2,2,3,3,4,4,5,5,6,6,7,7,7-Tridecafluoroheptanoic acid",Laboratory Grade,Unmeasured,>=97,Daphnia magna,Water Flea,Crustaceans,Neonate,<24,Hour(s),Static,Fresh water,Lab,6,Active ingredient,>,1019.3764,,,,,AI mg/L,Intoxication,Immobile,EC10,,2,Day(s),,,,,,,--,,,,,,,,,,,,,,,"Boudreau,T.M.",175259,Toxicity of Perfluorinated Organic Acids to Selected Freshwater Organisms Under Laboratory and Field Conditions,"M.S. Thesis, University of Guelph, Ontario, Canada:145 p.",2002,Purity:  NR - NR | Organism Age:  NR - NR Hour(s) | Duration (Days):  NR - NR Day(s) | Conc 2 (Standardized):  NR (NR - NR) NR | Conc 3 (Standardized):  NR (NR - NR) NR
SN0639,375859,"2,2,3,3,4,4,5,5,6,6,7,7,7-Tridecafluoroheptanoic acid",Laboratory Grade,Unmeasured,>=97,Daphnia magna,Water Flea,Crustaceans,Neonate,<24,Hour(s),Static,Fresh water,Lab,6,Active ingredient,>,1019.3764,,,,,AI mg/L,Intoxication,Immobile,EC50,,2,Day(s),,,,,,,--,,,,,,,,,,,,,,,"Boudreau,T.M.",175259,Toxicity of Perfluorinated Organic Acids to Selected Freshwater Organisms Under Laboratory and Field Conditions,"M.S. Thesis, University of Guelph, Ontario, Canada:145 p.",2002,Purity:  NR - NR | Organism Age:  NR - NR Hour(s) | Duration (Days):  NR - NR Day(s) | Conc 2 (Standardized):  NR (NR - NR) NR | Conc 3 (Standardized):  NR (NR - NR) NR
SN0640,375859,"2,2,3,3,4,4,5,5,6,6,7,7,7-Tridecafluoroheptanoic acid",Laboratory Grade,Unmeasured,>=97,Daphnia magna,Water Flea,Crustaceans,Neonate,<24,Hour(s),Static,Fresh water,Lab,6,Active ingredient,>,1019.3764,,,,,AI mg/L,Mortality,Mortality,LC50,,2,Day(s),,,,,,,--,,,,,,,,,,,,,,,"Boudreau,T.M.",175259,Toxicity of Perfluorinated Organic Acids to Selected Freshwater Organisms Under Laboratory and Field Conditions,"M.S. Thesis, University of Guelph, Ontario, Canada:145 p.",2002,Purity:  NR - NR | Organism Age:  NR - NR Hour(s) | Duration (Days):  NR - NR Day(s) | Conc 2 (Standardized):  NR (NR - NR) NR | Conc 3 (Standardized):  NR (NR - NR) NR
SN0641,375859,"2,2,3,3,4,4,5,5,6,6,7,7,7-Tridecafluoroheptanoic acid",,Unmeasured,99,Chironomus dilutus,Midge,Insects/Spiders,Larva,NR,Instar,Renewal,Fresh water,Lab,6,Active ingredient,>,3.4675,,,,,AI mg/L,Mortality,Mortality,LC50,,10,Day(s),,,,,,,--,,,,,,,,,,,,,,,"McCarthy,C.J., S.A. Roark, D. Wright, K. O'Neal, B. Muckey, M. Stanaway, J. Rewerts, J. Field, T. Anderson, and C.J. Sa",185968,Toxicological Response of Chironomus dilutus in Single Chemical and Binary Mixture Exposure Experiments with 6 Perfluoralkyl Substances,Environ. Toxicol. Chem.40(8): 2319-2333,2021,Purity:  NR - NR | Organism Age:  2 - 3 Instar | Duration (Days):  NR - NR Day(s) | Conc 2 (Standardized):  NR (NR - NR) NR | Conc 3 (Standardized):  NR (NR - NR) NR
SN0642,375928,"1,1,2,2,3,3,4,4,5,5,6,6,7,7,7-Pentadecafluoro-1-heptanesulfonic acid",,Unmeasured,NR,Danio rerio,Zebra Danio,Fish,Embryo,0,Days post fertilization,Renewal,Fresh water,Lab,9,Formulation,,75.66503752,,,,,AI mg/L,Multiple,Multiple effects reported as one result,EC50,,6,Day(s),,,,,,,--,,,,,,,,,,,,,,,"Gaballah,S., A. Swank, J.R. Sobus, X.M. Howey, J. Schmid, T. Catron, J. Mccord, E. Hines, M. Strynar, and T. Tal",182530,"Evaluation of Developmental Toxicity, Developmental Neurotoxicity, and Tissue Dose in Zebrafish Exposed to GenX and Other PFAS",Environ. Health Perspect.128(4): 047005-01 - 047005-22,2020,Purity:  NR - NR | Organism Age:  NR - NR Days post fertilization | Duration (Days):  NR - NR Day(s) | Conc 2 (Standardized):  NR (NR - NR) NR | Conc 3 (Standardized):  NR (NR - NR) NR
SN0643,375951,"2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,9-Heptadecafluorononanoic acid",,Unmeasured,NR,Geitlerinema amphibium,Blue-green Algae,Algae,Exponential growth phase (log),NR,,Static,Salt water,Lab,,Formulation,,129.942008,,,,,AI mg/L,Population,Population growth rate,EC50,,3,Day(s),,,,,,,--,,,,,,,,,,,,,,,"Latala,A., M. Nedzi, and P. Stepnowski",118463,Acute Toxicity Assessment of Perfluorinated Carboxylic Acids Towards the Baltic Microalgae,Environ. Toxicol. Pharmacol.28(2): 167-171,2009,Purity:  NR - NR | Organism Age:  NR - NR NR | Duration (Days):  NR - NR Day(s) | Conc 2 (Standardized):  NR (NR - NR) NR | Conc 3 (Standardized):  NR (NR - NR) NR
SN0644,375951,"2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,9-Heptadecafluorononanoic acid",,Unmeasured,97,Raphidocelis subcapitata,Green Algae,Algae,,NR,,Static,Fresh water,Lab,8,Active ingredient,,481.7135868,,454.797028,,510.48646,AI mg/L,Population,Photosynthesis,EC50,,0.1875,Day(s),,,,,,,--,,,,,,,,,,,,,,,"Ding,G., M. Wouterse, R. Baerselman, and W.J.G.M. Peijnenburg",160551,Toxicity of Polyfluorinated and Perfluorinated Compounds to Lettuce (Lactuca sativa) and Green Algae (Pseudokirchneriella subcapitata),Arch. Environ. Contam. Toxicol.62(1): 49-55,2012,Purity:  NR - NR | Organism Age:  NR - NR NR | Duration (Days):  NR - NR Day(s) | Conc 2 (Standardized):  NR (NR - NR) NR | Conc 3 (Standardized):  NR (NR - NR) NR
SN0645,375951,"2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,9-Heptadecafluorononanoic acid",,Unmeasured,NR,Skeletonema marinoi,Diatom,Algae,Exponential growth phase (log),NR,,Static,Salt water,Lab,,Formulation,,194.913012,,,,,AI mg/L,Population,Population growth rate,EC50,,3,Day(s),,,,,,,--,,,,,,,,,,,,,,,"Latala,A., M. Nedzi, and P. Stepnowski",118463,Acute Toxicity Assessment of Perfluorinated Carboxylic Acids Towards the Baltic Microalgae,Environ. Toxicol. Pharmacol.28(2): 167-171,2009,Purity:  NR - NR | Organism Age:  NR - NR NR | Duration (Days):  NR - NR Day(s) | Conc 2 (Standardized):  NR (NR - NR) NR | Conc 3 (Standardized):  NR (NR - NR) NR
SN0646,375951,"2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,9-Heptadecafluorononanoic acid",,Unmeasured,NR,Chlorella vulgaris,Green Algae,Algae,Exponential growth phase (log),NR,,Static,Salt water,Lab,,Formulation,,496.564102,,,,,AI mg/L,Population,Population growth rate,EC50,,3,Day(s),,,,,,,--,,,,,,,,,,,,,,,"Latala,A., M. Nedzi, and P. Stepnowski",118463,Acute Toxicity Assessment of Perfluorinated Carboxylic Acids Towards the Baltic Microalgae,Environ. Toxicol. Pharmacol.28(2): 167-171,2009,Purity:  NR - NR | Organism Age:  NR - NR NR | Duration (Days):  NR - NR Day(s) | Conc 2 (Standardized):  NR (NR - NR) NR | Conc 3 (Standardized):  NR (NR - NR) NR
SN0647,375951,"2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,9-Heptadecafluorononanoic acid",,Unmeasured,NR,Xenopus sp.,Clawed Frog,Amphibians,Blastula,NR,,Renewal,Fresh water,Lab,7,Formulation,,234.8701795,,,,,AI mg/L,Morphology,Abnormal,EC50,Multiple sites,4,Day(s),,,,,,,--,,,,,,,,,,,,,,,"Kim,M., J. Son, M.S. Park, Y. Ji, S. Chae, C. Jun, J.S. Bae, T.K. Kwon, Y.S. Choo, H. Yoon, D. Yoon, J. Ryoo, S.H. Kim,",170608,In Vivo Evaluation and Comparison of Developmental Toxicity and Teratogenicity of Perfluoroalkyl Compounds Using Xenopus Embryos,Chemosphere93(6): 1153-1160,2013,Purity:  NR - NR | Organism Age:  NR - NR NR | Duration (Days):  NR - NR Day(s) | Conc 2 (Standardized):  NR (NR - NR) NR | Conc 3 (Standardized):  NR (NR - NR) NR
SN0648,375951,"2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,9-Heptadecafluorononanoic acid",,Unmeasured,NR,Xenopus sp.,Clawed Frog,Amphibians,Blastula,NR,,Renewal,Fresh water,Lab,7,Formulation,,335.807275,,,,,AI mg/L,Mortality,Mortality,LC50,,4,Day(s),,,,,,,--,,,,,,,,,,,,,,,"Kim,M., J. Son, M.S. Park, Y. Ji, S. Chae, C. Jun, J.S. Bae, T.K. Kwon, Y.S. Choo, H. Yoon, D. Yoon, J. Ryoo, S.H. Kim,",170608,In Vivo Evaluation and Comparison of Developmental Toxicity and Teratogenicity of Perfluoroalkyl Compounds Using Xenopus Embryos,Chemosphere93(6): 1153-1160,2013,Purity:  NR - NR | Organism Age:  NR - NR NR | Duration (Days):  NR - NR Day(s) | Conc 2 (Standardized):  NR (NR - NR) NR | Conc 3 (Standardized):  NR (NR - NR) NR
SN0649,375951,"2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,9-Heptadecafluorononanoic acid",,Unmeasured,NR,Xenopus laevis,African Clawed Frog,Amphibians,Not intact,NR,,In Vitro,Culture,Lab,,Formulation,,7.8893362,,,,,AI mg/L,Biochemistry,Peroxisome proliferator activated receptor gamma,EC20,,1,Day(s),,,,,,,--,,,,,,,,,,,,,,,"Garoche,C., A. Boulahtouf, M. Grimaldi, B. Chiavarina, L. Toporova, M.J. Den Broeder, J. Legler, W. Bourguet, and P. Ba",188793,Interspecies Differences in Activation of Peroxisome Proliferator-Activated Receptor gamma by Pharmaceutical and Environmental Chemicals,Environ. Sci. Technol.55(24): 16489-16501,2021,Purity:  NR - NR | Organism Age:  NR - NR NR | Duration (Days):  NR - NR Day(s) | Conc 2 (Standardized):  NR (NR - NR) NR | Conc 3 (Standardized):  NR (NR - NR) NR
SN0650,375951,"2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,9-Heptadecafluorononanoic acid",,Unmeasured,NR,Xenopus laevis,African Clawed Frog,Amphibians,Not intact,NR,,In Vitro,Culture,Lab,,Formulation,,19.4913012,,,,,AI mg/L,Biochemistry,Peroxisome proliferator activated receptor gamma,EC50,,1,Day(s),,,,,,,--,,,,,,,,,,,,,,,"Garoche,C., A. Boulahtouf, M. Grimaldi, B. Chiavarina, L. Toporova, M.J. Den Broeder, J. Legler, W. Bourguet, and P. Ba",188793,Interspecies Differences in Activation of Peroxisome Proliferator-Activated Receptor gamma by Pharmaceutical and Environmental Chemicals,Environ. Sci. Technol.55(24): 16489-16501,2021,Purity:  NR - NR | Organism Age:  NR - NR NR | Duration (Days):  NR - NR Day(s) | Conc 2 (Standardized):  NR (NR - NR) NR | Conc 3 (Standardized):  NR (NR - NR) NR
SN0651,375951,"2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,9-Heptadecafluorononanoic acid",,Chemical analysis reported,97,Chydorus sphaericus,Water Flea,Crustaceans,Neonate,<24,Hour(s),Static,Fresh water,Lab,7,Active ingredient,,56.1535106,,49.1923316,,63.1146896,AI mg/L,Intoxication,Immobile,EC50,,1,Day(s),,,,,,,--,,,,,,,,,,,,,,,"Ding,G.H., T. Fromel, E.J. Van den Brandhof, R. Baerselman, and W.J.G.M. Peijnenburg",160946,"Acute Toxicity of Poly- and Perfluorinated Compounds to Two Cladocerans, Daphnia magna and Chydorus sphaericus",Environ. Toxicol. Chem.31(3): 605-610,2012,Purity:  NR - NR | Organism Age:  NR - NR Hour(s) | Duration (Days):  NR - NR Day(s) | Conc 2 (Standardized):  NR (NR - NR) NR | Conc 3 (Standardized):  NR (NR - NR) NR
SN0652,375951,"2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,9-Heptadecafluorononanoic acid",,Chemical analysis reported,97,Chydorus sphaericus,Water Flea,Crustaceans,Neonate,<24,Hour(s),Static,Fresh water,Lab,7,Active ingredient,,27.844716,,21.8116942,,32.485502,AI mg/L,Intoxication,Immobile,EC50,,2,Day(s),,,,,,,--,,,,,,,,,,,,,,,"Ding,G.H., T. Fromel, E.J. Van den Brandhof, R. Baerselman, and W.J.G.M. Peijnenburg",160946,"Acute Toxicity of Poly- and Perfluorinated Compounds to Two Cladocerans, Daphnia magna and Chydorus sphaericus",Environ. Toxicol. Chem.31(3): 605-610,2012,Purity:  NR - NR | Organism Age:  NR - NR Hour(s) | Duration (Days):  NR - NR Day(s) | Conc 2 (Standardized):  NR (NR - NR) NR | Conc 3 (Standardized):  NR (NR - NR) NR
SN0653,375951,"2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,9-Heptadecafluorononanoic acid",Laboratory Grade,Unmeasured,>=97,Daphnia pulicaria,Water Flea,Crustaceans,Neonate,<24,Hour(s),Renewal,Fresh water,Lab,,Active ingredient,,8.8174934,,6.4971004,,11.601965,AI mg/L,Mortality,Mortality,LC50,,21,Day(s),,,,,,,--,,,,,,,,,,,,,,,"Boudreau,T.M.",175259,Toxicity of Perfluorinated Organic Acids to Selected Freshwater Organisms Under Laboratory and Field Conditions,"M.S. Thesis, University of Guelph, Ontario, Canada:145 p.",2002,Purity:  NR - NR | Organism Age:  NR - NR Hour(s) | Duration (Days):  NR - NR Day(s) | Conc 2 (Standardized):  NR (NR - NR) NR | Conc 3 (Standardized):  NR (NR - NR) NR
SN0654,375951,"2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,9-Heptadecafluorononanoic acid",Laboratory Grade,Unmeasured,>=97,Daphnia magna,Water Flea,Crustaceans,Neonate,<24,Hour(s),Static,Fresh water,Lab,6,Active ingredient,,74.7166546,,50.1204888,,85.3904624,AI mg/L,Intoxication,Immobile,EC10,,2,Day(s),,,,,,,--,,,,,,,,,,,,,,,"Boudreau,T.M.",175259,Toxicity of Perfluorinated Organic Acids to Selected Freshwater Organisms Under Laboratory and Field Conditions,"M.S. Thesis, University of Guelph, Ontario, Canada:145 p.",2002,Purity:  NR - NR | Organism Age:  NR - NR Hour(s) | Duration (Days):  NR - NR Day(s) | Conc 2 (Standardized):  NR (NR - NR) NR | Conc 3 (Standardized):  NR (NR - NR) NR
SN0655,375951,"2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,9-Heptadecafluorononanoic acid",,Unmeasured,98,Daphnia magna,Water Flea,Crustaceans,Neonate,<24,Hour(s),Static,Fresh water,Lab,7,Active ingredient,,43.42,,,,,AI mg/L,Intoxication,Immobile,EC50,,2,Day(s),,,,,,,--,,,,,,,,,,,,,,,"Lu,G., J. Liu, L. Sun, and L. Yuan",177104,Toxicity of Perfluorononanoic Acid and Perfluorooctane Sulfonate to Daphnia magna,Water Sci. Eng.8(1): 40-48,2015,Purity:  NR - NR | Organism Age:  NR - NR Hour(s) | Duration (Days):  NR - NR Day(s) | Conc 2 (Standardized):  NR (NR - NR) NR | Conc 3 (Standardized):  NR (NR - NR) NR
SN0656,375951,"2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,9-Heptadecafluorononanoic acid",,Chemical analysis reported,97,Daphnia magna,Water Flea,Crustaceans,Neonate,<24,Hour(s),Static,Fresh water,Lab,7,Active ingredient,,151.2896236,,130.4060866,,180.990654,AI mg/L,Intoxication,Immobile,EC50,,2,Day(s),,,,,,,--,,,,,,,,,,,,,,,"Ding,G.H., T. Fromel, E.J. Van den Brandhof, R. Baerselman, and W.J.G.M. Peijnenburg",160946,"Acute Toxicity of Poly- and Perfluorinated Compounds to Two Cladocerans, Daphnia magna and Chydorus sphaericus",Environ. Toxicol. Chem.31(3): 605-610,2012,Purity:  NR - NR | Organism Age:  NR - NR Hour(s) | Duration (Days):  NR - NR Day(s) | Conc 2 (Standardized):  NR (NR - NR) NR | Conc 3 (Standardized):  NR (NR - NR) NR
SN0657,375951,"2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,9-Heptadecafluorononanoic acid",,Chemical analysis reported,97,Daphnia magna,Water Flea,Crustaceans,Neonate,<24,Hour(s),Static,Fresh water,Lab,7,Active ingredient,,223.2218066,,201.874191,,278.9112386,AI mg/L,Intoxication,Immobile,EC50,,1,Day(s),,,,,,,--,,,,,,,,,,,,,,,"Ding,G.H., T. Fromel, E.J. Van den Brandhof, R. Baerselman, and W.J.G.M. Peijnenburg",160946,"Acute Toxicity of Poly- and Perfluorinated Compounds to Two Cladocerans, Daphnia magna and Chydorus sphaericus",Environ. Toxicol. Chem.31(3): 605-610,2012,Purity:  NR - NR | Organism Age:  NR - NR Hour(s) | Duration (Days):  NR - NR Day(s) | Conc 2 (Standardized):  NR (NR - NR) NR | Conc 3 (Standardized):  NR (NR - NR) NR
SN0658,375951,"2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,9-Heptadecafluorononanoic acid",Laboratory Grade,Unmeasured,>=97,Daphnia magna,Water Flea,Crustaceans,Neonate,<24,Hour(s),Static,Fresh water,Lab,6,Active ingredient,,91.8875628,,77.0370476,,109.5225496,AI mg/L,Intoxication,Immobile,EC50,,2,Day(s),,,,,,,--,,,,,,,,,,,,,,,"Boudreau,T.M.",175259,Toxicity of Perfluorinated Organic Acids to Selected Freshwater Organisms Under Laboratory and Field Conditions,"M.S. Thesis, University of Guelph, Ontario, Canada:145 p.",2002,Purity:  NR - NR | Organism Age:  NR - NR Hour(s) | Duration (Days):  NR - NR Day(s) | Conc 2 (Standardized):  NR (NR - NR) NR | Conc 3 (Standardized):  NR (NR - NR) NR
SN0659,375951,"2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,9-Heptadecafluorononanoic acid",,Unmeasured,98,Daphnia magna,Water Flea,Crustaceans,Neonate,<24,Hour(s),Static,Fresh water,Lab,7,Active ingredient,,80.93,,,,,AI mg/L,Mortality,Mortality,LC50,,2,Day(s),,,,,,,--,,,,,,,,,,,,,,,"Lu,G., J. Liu, L. Sun, and L. Yuan",177104,Toxicity of Perfluorononanoic Acid and Perfluorooctane Sulfonate to Daphnia magna,Water Sci. Eng.8(1): 40-48,2015,Purity:  NR - NR | Organism Age:  NR - NR Hour(s) | Duration (Days):  NR - NR Day(s) | Conc 2 (Standardized):  NR (NR - NR) NR | Conc 3 (Standardized):  NR (NR - NR) NR
SN0660,375951,"2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,9-Heptadecafluorononanoic acid",Laboratory Grade,Unmeasured,>=97,Daphnia magna,Water Flea,Crustaceans,Neonate,<24,Hour(s),Static,Fresh water,Lab,6,Active ingredient,,120.1963574,,101.1691348,,144.3284446,AI mg/L,Mortality,Mortality,LC50,,2,Day(s),,,,,,,--,,,,,,,,,,,,,,,"Boudreau,T.M.",175259,Toxicity of Perfluorinated Organic Acids to Selected Freshwater Organisms Under Laboratory and Field Conditions,"M.S. Thesis, University of Guelph, Ontario, Canada:145 p.",2002,Purity:  NR - NR | Organism Age:  NR - NR Hour(s) | Duration (Days):  NR - NR Day(s) | Conc 2 (Standardized):  NR (NR - NR) NR | Conc 3 (Standardized):  NR (NR - NR) NR
